stock_ticker,stock_name,curr_price,pred_low,pred_avg,pred_high,# of Analyst,% low/curr,% avg/curr,% high/curr
DOV,Dover,139.9,127.0,138.0,146.0,7,-9.22,-1.36,4.36
CBRE,CBRE Group,79.09,68.0,77.33,85.0,4,-14.02,-2.23,7.47
COUP,Coupa Software,246,292.0,356.36,413.0,12,18.7,44.86,67.89
TRU,TransUnion,92.59,105.0,112.0,116.0,4,13.4,20.96,25.28
COO,Cooper Co,383.85,378.0,413.88,445.0,8,-1.52,7.82,15.93
K,Kellogg,63.71,58.0,63.86,72.0,7,-8.96,0.24,13.01
FE,FirstEnergy,34.27,32.0,36.56,40.0,9,-6.62,6.68,16.72
IP,International Paper Co,55.11,41.0,54.22,64.0,9,-25.6,-1.61,16.13
VIAC,ViacomCBS,48.23,29.0,59.65,120.0,20,-39.87,23.68,148.81
CDW,CDW,167.9,164.0,173.5,180.0,4,-2.32,3.34,7.21
ROKU,Roku,306.82,275.0,480.1,600.0,20,-10.37,56.48,95.55
INVH,Invitation Homes,32.3,32.0,33.25,35.0,6,-0.93,2.94,8.36
TSCO,Tractor Supply,178.48,150.0,173.18,190.0,12,-15.96,-2.97,6.45
FITB,Fifth Third Bancorp,38.44,30.0,38.25,45.0,12,-21.96,-0.49,17.07
GWW,WW Grainger,399.37,324.0,421.78,460.0,8,-18.87,5.61,15.18
BR,Broadridge Financial Solutions,153.44,176.0,176.0,176.0,2,14.7,14.7,14.7
