stock_ticker,stock_name,curr_price,pred_low,pred_avg,pred_high,# of Analyst,% low/curr,% avg/curr,% high/curr
MDLZ,Mondelez International,59.44,62.0,65.86,69.0,8,4.31,10.8,16.08
BLK,Blackrock,756.9,715.0,832.17,890.0,7,-5.54,9.94,17.58
INTU,Intuit,376.58,405.0,450.06,500.0,16,7.55,19.51,32.77
MO,Altria Group,52.5,40.0,50.14,58.0,7,-23.81,-4.5,10.48
ZTS,Zoetis,156.15,166.0,186.8,203.0,5,6.31,19.63,30.0
CVS,CVS Health,75.96,80.0,89.11,102.0,11,5.32,17.31,34.28
PLD,Prologis,106.78,115.0,120.5,133.0,6,7.7,12.85,24.56
TGT,Target,200.95,170.0,208.72,260.0,18,-15.4,3.87,29.39
BKNG,Booking Holdings,2323.53,1890.0,2495.78,3000.0,21,-18.66,7.41,29.11
SYK,Stryker,240.98,235.0,254.91,275.0,13,-2.48,5.78,14.12
AXP,American Express,143.73,113.0,130.5,165.0,11,-21.38,-9.2,14.8
VRTX,Vertex Pharmaceuticals,214.64,250.0,276.08,347.0,13,16.47,28.62,61.67
D,Dominion Energy,75.78,76.0,81.29,87.0,7,0.29,7.27,14.81
ZM,Zoom Video Communications,319.95,360.0,472.41,610.0,20,12.52,47.65,90.65
APD,Air Products and Chemicals,287.22,277.0,304.78,340.0,9,-3.56,6.11,18.38
ANTM,Anthem,371.31,327.0,364.73,402.0,11,-11.93,-1.77,8.27
GS,Goldman Sachs Group,327.39,295.0,340.07,449.0,16,-9.89,3.87,37.15
CCI,Crown Castle,173.29,155.0,177.33,197.0,9,-10.55,2.33,13.68
TJX,TJX Companies,66.04,66.0,76.79,85.0,14,-0.06,16.28,28.71
EQIX,Equinix,683.63,750.0,838.92,942.0,11,9.71,22.72,37.79
CL,Colgate-Palmolive,79.22,77.0,85.78,98.0,9,-2.8,8.28,23.71
BDX,Becton Dickinson,245.12,280.0,280.0,280.0,4,14.23,14.23,14.23
ITW,Illinois Tool Works,227.61,180.0,216.5,236.0,12,-20.92,-4.88,3.69
CI,Cigna,243.78,254.0,267.77,290.0,14,4.19,9.84,18.96
DUK,Duke Energy,95.83,94.0,101.0,109.0,11,-1.91,5.39,13.74
TMUS,T Mobile US,122.99,133.0,158.25,190.0,13,8.14,28.67,54.48
DE,Deere,372.29,287.0,370.81,430.0,16,-22.91,-0.4,15.5
ATVI,Activision Blizzard,92.4,100.0,113.59,125.0,23,8.23,22.93,35.28
CSX,CSX,97.66,62.0,98.43,113.0,14,-36.51,0.79,15.71
MMC,Marsh & Mclennan Companies,120.23,112.0,123.29,130.0,7,-6.85,2.55,8.13
SHW,Sherwin-Williams Company,759.02,760.0,812.8,874.0,5,0.13,7.09,15.15
CME,CME Group,208.44,191.0,209.56,230.0,12,-8.37,0.54,10.34
ADP,Automatic Data Processing,192.69,143.0,185.44,210.0,9,-25.79,-3.76,8.98
BSX,Boston Scientific,38.22,39.0,42.73,46.0,11,2.04,11.8,20.36
FDX,FedEx,281.34,250.0,330.77,383.0,16,-11.14,17.57,36.13
PGR,Progressive,95.25,85.0,95.86,115.0,8,-10.76,0.64,20.73
MS,Morgan Stanley,79.98,67.0,84.25,100.0,11,-16.23,5.34,25.03
NSC,Norfolk Southern,272.91,145.0,254.75,305.0,14,-46.87,-6.65,11.76
SO,Southern Co,61.66,57.0,64.73,73.0,11,-7.56,4.98,18.39
MU,Micron,87.99,90.0,115.86,150.0,23,2.28,31.67,70.47
REGN,Regeneron,476.91,525.0,653.6,793.0,17,10.08,37.05,66.28
CB,Chubb,159.78,155.0,179.36,210.0,10,-2.99,12.25,31.43
ICE,Intercontinental Exchange,113.64,127.0,134.57,142.0,9,11.76,18.42,24.96
FISV,Fiserv,123.61,115.0,134.46,160.0,16,-6.97,8.78,29.44
NEM,Newmont Mining,61.5,64.0,73.34,86.4261,10,4.07,19.25,40.53
TFC,Truist Financial,59.35,53.0,60.33,74.0,11,-10.7,1.65,24.68
GE,General Electric,12.99,5.0,13.5,17.0,13,-61.51,3.93,30.87
HUM,Humana,423.6,450.0,471.29,500.0,7,6.23,11.26,18.04
NOC,Northrop,319.02,331.0,366.83,447.0,5,3.76,14.99,40.12
SQ,Square,213.6,160.0,276.55,380.0,30,-25.09,29.47,77.9
ILMN,Illumina,401.46,325.0,455.71,570.0,7,-19.05,13.51,41.98
UBER,Uber Technologies,54.71,60.0,72.37,82.0,29,9.67,32.28,49.88
AMAT,Applied Materials,128.64,110.0,135.52,150.0,22,-14.49,5.35,16.6
ECL,Ecolab,213.33,210.0,224.0,250.0,8,-1.56,5.0,17.19
USB,US Bancorp,56.21,50.0,56.7,69.0,15,-11.05,0.87,22.75
EW,Edwards Lifesciences,82.3,91.0,94.5,97.0,5,10.57,14.82,17.86
DG,Dollar General,203.08,206.0,228.92,260.0,14,1.44,12.72,28.03
GPN,Global Payments,209.17,190.0,224.32,239.0,19,-9.16,7.24,14.26
KMB,Kimberly Clark,137.13,122.0,146.0,172.0,11,-11.03,6.47,25.43
ADSK,Autodesk,269.01,270.0,338.82,370.0,11,0.37,25.95,37.54
WM,Waste Management,129.8,119.0,129.0,149.0,9,-8.32,-0.62,14.79
PNC,PNC Financial,179.68,142.0,166.67,182.0,14,-20.97,-7.24,1.29
EL,The Estée Lauder Companies,292.31,280.0,314.4,348.0,16,-4.21,7.56,19.05
MCO,Moody's,304.12,292.0,318.0,354.0,6,-3.99,4.56,16.4
AON,Aon,228.31,205.0,240.2,275.0,5,-10.21,5.21,20.45
BIIB,Biogen,276.63,200.0,307.42,458.0,22,-27.7,11.13,65.56
LRCX,Lam Research,584.23,525.0,598.56,670.0,17,-10.14,2.45,14.68
DD,DuPont de Nemours,78.47,70.0,83.36,90.0,10,-10.79,6.23,14.69
ADI,Analog Devices,157.11,160.0,179.81,200.0,17,1.84,14.45,27.3
BAX,Baxter International,85.95,80.0,89.86,100.0,7,-6.92,4.55,16.35
SCHW,Charles Schwab,65.71,54.0,68.04,79.0,13,-17.82,3.55,20.23
ROP,Roper Technologies,410.36,310.0,434.83,484.0,6,-24.46,5.96,17.95
ETN,Eaton,138.69,125.0,142.54,160.0,13,-9.87,2.78,15.37
EMR,Emerson Electric Company,91.57,80.0,94.86,104.0,15,-12.64,3.59,13.57
AEP,American Electric Power,84.99,83.0,91.75,99.0,9,-2.34,7.95,16.48
LHX,L3Harris Technologies,198.94,200.0,215.13,230.0,8,0.53,8.14,15.61
GM,General Motors,56.52,50.0,67.0,85.0,10,-11.54,18.54,50.39
DLR,Digital Realty,142.91,140.0,158.43,169.0,9,-2.04,10.86,18.26
CTSH,Cognizant,79.24,74.0,86.0,95.0,14,-6.61,8.53,19.89
